Bat_specie,Plan_genus,Latitude,Longitude,Reference
Artibeus_jamaicensis,Cecropia,4.673612,-75.615,"1. Aguilar-Garavito, M. et al. (2014). Seed dispersal by bats across four successional stages of a subandean landscape. Biota Colombiana, 15:87-101"
Sturnira_bogotensis,Cecropia,4.673612,-75.615,"1. Aguilar-Garavito, M. et al. (2014). Seed dispersal by bats across four successional stages of a subandean landscape. Biota Colombiana, 15:87-101"
Artibeus_lituratus,Cecropia,4.673612,-75.615,"1. Aguilar-Garavito, M. et al. (2014). Seed dispersal by bats across four successional stages of a subandean landscape. Biota Colombiana, 15:87-101"
Sturnira_ludovici,Cecropia,4.673612,-75.615,"1. Aguilar-Garavito, M. et al. (2014). Seed dispersal by bats across four successional stages of a subandean landscape. Biota Colombiana, 15:87-101"
Carollia_brevicauda,Cecropia,4.673612,-75.615,"1. Aguilar-Garavito, M. et al. (2014). Seed dispersal by bats across four successional stages of a subandean landscape. Biota Colombiana, 15:87-101"
Enchisthenes_hartii,Cecropia,4.673612,-75.615,"1. Aguilar-Garavito, M. et al. (2014). Seed dispersal by bats across four successional stages of a subandean landscape. Biota Colombiana, 15:87-101"
Platyrrhinus_dorsalis,Cecropia,4.673612,-75.615,"1. Aguilar-Garavito, M. et al. (2014). Seed dispersal by bats across four successional stages of a subandean landscape. Biota Colombiana, 15:87-101"
Sturnira_lilium,Cecropia,4.673612,-75.615,"1. Aguilar-Garavito, M. et al. (2014). Seed dispersal by bats across four successional stages of a subandean landscape. Biota Colombiana, 15:87-101"
Artibeus_lituratus,Ficus,4.673612,-75.615,"1. Aguilar-Garavito, M. et al. (2014). Seed dispersal by bats across four successional stages of a subandean landscape. Biota Colombiana, 15:87-101"
Enchisthenes_hartii,Ficus,4.673612,-75.615,"1. Aguilar-Garavito, M. et al. (2014). Seed dispersal by bats across four successional stages of a subandean landscape. Biota Colombiana, 15:87-101"
Platyrrhinus_dorsalis,Ficus,4.673612,-75.615,"1. Aguilar-Garavito, M. et al. (2014). Seed dispersal by bats across four successional stages of a subandean landscape. Biota Colombiana, 15:87-101"
Sturnira_lilium,Ficus,4.673612,-75.615,"1. Aguilar-Garavito, M. et al. (2014). Seed dispersal by bats across four successional stages of a subandean landscape. Biota Colombiana, 15:87-101"
